CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1652044,Alphabet Inc.,8-K,2025-02-04,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000010.txt,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000010-index.html,2025-02-04,2025-02-04,7370,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000010/goog-20250204.htm,DE,CA,1231,1652044_8K_2025_0001652044-25-000010.htm
1652044,Alphabet Inc.,8-K,2025-03-18,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000027.txt,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000027-index.html,2025-03-18,2025-03-18,7370,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000027/goog-20250318.htm,DE,CA,1231,1652044_8K_2025_0001652044-25-000027.htm
320193,Apple Inc.,10-Q,2025-01-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000008.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000008-index.html,2025-01-31,2024-12-28,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/aapl-20241228.htm,CA,CA,0927,320193_10Q_2024_0000320193-25-000008.htm
320193,Apple Inc.,8-K,2025-01-03,https://www.sec.gov/Archives/edgar/data/320193/0001140361-25-000228.txt,https://www.sec.gov/Archives/edgar/data/320193/0001140361-25-000228-index.html,2025-01-03,2024-12-30,3571,https://www.sec.gov/Archives/edgar/data/320193/000114036125000228/ef20040370_8k.htm,CA,CA,0927,320193_8K_2024_0001140361-25-000228.htm
320193,Apple Inc.,8-K,2025-01-30,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000007.txt,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000007-index.html,2025-01-30,2025-01-30,3571,https://www.sec.gov/Archives/edgar/data/320193/000032019325000007/aapl-20250130.htm,CA,CA,0927,320193_8K_2025_0000320193-25-000007.htm
320193,Apple Inc.,8-K,2025-02-25,https://www.sec.gov/Archives/edgar/data/320193/0001140361-25-005876.txt,https://www.sec.gov/Archives/edgar/data/320193/0001140361-25-005876-index.html,2025-02-25,2025-02-25,3571,https://www.sec.gov/Archives/edgar/data/320193/000114036125005876/ef20044022_8k.htm,CA,CA,0927,320193_8K_2025_0001140361-25-005876.htm
789019,MICROSOFT CORP,10-Q,2025-01-29,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-010491.txt,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-010491-index.html,2025-01-29,2024-12-31,7372,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/msft-20241231.htm,WA,WA,0630,789019_10Q_2024_0000950170-25-010491.htm
789019,MICROSOFT CORP,8-K,2025-01-22,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-010492.txt,https://www.sec.gov/Archives/edgar/data/789019/0001193125-25-010492-index.html,2025-01-22,2025-01-22,7372,https://www.sec.gov/Archives/edgar/data/789019/000119312525010492/d929748d8k.htm,WA,WA,0630,789019_8K_2025_0001193125-25-010492.htm
789019,MICROSOFT CORP,8-K,2025-01-29,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-010484.txt,https://www.sec.gov/Archives/edgar/data/789019/0000950170-25-010484-index.html,2025-01-29,2025-01-29,7372,https://www.sec.gov/Archives/edgar/data/789019/000095017025010484/msft-20250129.htm,WA,WA,0630,789019_8K_2025_0000950170-25-010484.htm
1018724,AMAZON COM INC,10-Q,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036.txt,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000036-index.html,2025-05-02,2025-03-31,5961,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/amzn-20250331.htm,DE,WA,1231,1018724_10Q_2025_0001018724-25-000036.htm
1018724,AMAZON COM INC,8-K,2025-04-10,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-25-033450.txt,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-25-033450-index.html,2025-04-10,2025-04-10,5961,https://www.sec.gov/Archives/edgar/data/1018724/000110465925033450/tm254123d2_8k.htm,DE,WA,1231,1018724_8K_2025_0001104659-25-033450.htm
1018724,AMAZON COM INC,8-K,2025-05-01,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000034.txt,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000034-index.html,2025-05-01,2025-05-01,5961,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000034/amzn-20250501.htm,DE,WA,1231,1018724_8K_2025_0001018724-25-000034.htm
1018724,AMAZON COM INC,8-K,2025-05-22,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-25-052014.txt,https://www.sec.gov/Archives/edgar/data/1018724/0001104659-25-052014-index.html,2025-05-22,2025-05-21,5961,https://www.sec.gov/Archives/edgar/data/1018724/000110465925052014/tm2515134d1_8k.htm,DE,WA,1231,1018724_8K_2025_0001104659-25-052014.htm
1045810,NVIDIA CORP,10-Q,2025-05-28,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000116.txt,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000116-index.html,2025-05-28,2025-04-27,3674,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/nvda-20250427.htm,DE,CA,0125,1045810_10Q_2025_0001045810-25-000116.htm
